"BusinessYear","StateCode","IssuerId","SourceName","VersionNum","ImportDate","IssuerId2","TIN","ProductId","StandardComponentId","EnrolleeContractRateDeterminationRule","TwoParentFamilyMaxDependentsRule","SingleParentFamilyMaxDependentsRule","DependentMaximumAgRule","ChildrenOnlyContractMaxChildrenRule","DomesticPartnerAsSpouseIndicator","SameSexPartnerAsSpouseIndicator","AgeDeterminationRule","MinimumTobaccoFreeMonthsRule","CohabitationRule","RowNumber","MarketCoverage","DentalOnly"
"2014","AL","82285","HIOS","7","2014-01-21 08:29:49","82285","94-2761537",,"82285AL0010006","A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","26","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,No;Adopted Child,No;Foster Child,No;Ward,No;Stepson or Stepdaughter,No;Child,No;Life Partner,No","14",,
"2014","AL","82285","HIOS","7","2014-01-21 08:29:49","82285","94-2761537",,"82285AL0020001","A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","Not Applicable","3 or more","Yes","Yes","Age on effective date","Not Applicable","Adopted Child,Yes;Foster Child,Yes;Stepson or Stepdaughter,Yes;Child,Yes","15",,
"2014","AL","82285","HIOS","7","2014-01-21 08:29:49","82285","94-2761537",,"82285AL0020002","A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","Not Applicable","3 or more","Yes","Yes","Age on effective date","Not Applicable","Adopted Child,Yes;Foster Child,Yes;Stepson or Stepdaughter,Yes;Child,Yes","16",,
"2014","AL","82285","HIOS","7","2014-01-21 08:29:49","82285","94-2761537",,"82285AL0020004","A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","26","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,No;Adopted Child,No;Foster Child,No;Ward,No;Stepson or Stepdaughter,No;Child,No;Life Partner,No","17",,
"2014","AL","82285","HIOS","7","2014-01-21 08:29:49","82285","94-2761537",,"82285AL0020006","A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","26","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,No;Adopted Child,No;Foster Child,No;Ward,No;Stepson or Stepdaughter,No;Child,No;Life Partner,No","18",,
"2014","AZ","17100","HIOS","7","2013-10-15 07:27:56","17100","13-5581829",,,"There are rates specifically for couples and for families (not just addition of individual rates)","3 or more","3 or more","26","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,No;Grandson or Granddaughter,Yes;Adopted Child,Yes;Foster Child,Yes;Ward,Yes;Stepson or Stepdaughter,Yes;Self,Yes;Child,Yes;Life Partner,No","10",,
"2014","AZ","17100","HIOS","7","2013-10-15 07:27:56","17100","13-5581829",,"17100AZ0160001","A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","21","3 or more","No","No","Age on effective date","Not Applicable","Brother or Sister,Yes;Ward,Yes;Self,Yes;Child,Yes;Dependent on a Minor Dependent,Yes","11",,
"2014","AZ","18156","HIOS","1","2013-06-06 10:50:48","18156","35-0472300",,,"There are rates specifically for couples and for families (not just addition of individual rates)","3 or more","3 or more","30","1","Yes","Yes","Age on effective date","Not Applicable","Spouse,No;Grandson or Granddaughter,Yes;Adopted Child,No;Foster Child,Yes;Stepson or Stepdaughter,Yes;Self,Yes;Child,No;Life Partner,No","10",,
"2014","AZ","23307","HIOS","8","2014-01-16 07:24:04","23307","61-1013183",,,"A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","26","3 or more","Yes","No","Age on effective date","6","Spouse,No;Adopted Child,No;Stepson or Stepdaughter,No;Self,No;Child,No;Dependent on a Minor Dependent,No","10",,
"2014","AZ","30045","HIOS","5","2014-03-19 07:06:49","30045","86-0274899",,,"A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","26","3 or more","No","No","Age on effective date","Not Applicable","Spouse,Yes;Adopted Child,No;Foster Child,No;Brother or Sister,No;Ward,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Dependent on a Minor Dependent,No","10",,
