"BusinessYear","StateCode","IssuerId","SourceName","VersionNum","ImportDate","IssuerId2","TIN","ProductId","StandardComponentId","EnrolleeContractRateDeterminationRule","TwoParentFamilyMaxDependentsRule","SingleParentFamilyMaxDependentsRule","DependentMaximumAgRule","ChildrenOnlyContractMaxChildrenRule","DomesticPartnerAsSpouseIndicator","SameSexPartnerAsSpouseIndicator","AgeDeterminationRule","MinimumTobaccoFreeMonthsRule","CohabitationRule","RowNumber","MarketCoverage","DentalOnlyPlan"
"2016","AK","21989","HIOS","4","2015-08-22 15:09:32","21989","93-0438772","21989AK009","21989AK0090001","There are rates specifically for couples and for families (not just addition of individual rates)","3 or more","3 or more","25","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,Yes;Adopted Child,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Life Partner,Yes","15","SHOP (Small Group)","Yes"
"2016","AK","21989","HIOS","4","2015-08-22 15:09:32","21989","93-0438772","21989AK009","21989AK0090002","There are rates specifically for couples and for families (not just addition of individual rates)","3 or more","3 or more","25","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,Yes;Adopted Child,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Life Partner,Yes","15","SHOP (Small Group)","Yes"
"2016","AK","21989","HIOS","4","2015-08-22 15:09:32","21989","93-0438772","21989AK010","21989AK0100001","There are rates specifically for couples and for families (not just addition of individual rates)","3 or more","3 or more","25","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,Yes;Adopted Child,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Life Partner,Yes","16","SHOP (Small Group)","Yes"
"2016","AK","21989","HIOS","4","2015-08-22 15:09:32","21989","93-0438772","21989AK010","21989AK0100002","There are rates specifically for couples and for families (not just addition of individual rates)","3 or more","3 or more","25","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,Yes;Adopted Child,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Life Partner,Yes","16","SHOP (Small Group)","Yes"
"2016","AK","21989","HIOS","4","2015-08-22 15:09:32","21989","93-0438772","21989AK011","21989AK0110001","There are rates specifically for couples and for families (not just addition of individual rates)","3 or more","3 or more","25","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,Yes;Adopted Child,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Life Partner,Yes","17","SHOP (Small Group)","Yes"
"2016","AK","21989","HIOS","4","2015-08-22 15:09:32","21989","93-0438772","21989AK012","21989AK0120001","There are rates specifically for couples and for families (not just addition of individual rates)","3 or more","3 or more","25","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,Yes;Adopted Child,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Life Partner,Yes","18","SHOP (Small Group)","Yes"
"2016","AK","21989","HIOS","4","2015-08-22 15:09:32","21989","93-0438772","21989AK003","21989AK0030001","A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","25","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,Yes;Adopted Child,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Life Partner,Yes","11","Individual","Yes"
"2016","AK","21989","HIOS","4","2015-08-22 15:09:32","21989","93-0438772","21989AK005","21989AK0050001","A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","25","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,Yes;Adopted Child,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Life Partner,Yes","12","Individual","Yes"
"2016","AK","21989","HIOS","4","2015-08-22 15:09:32","21989","93-0438772","21989AK005","21989AK0050002","A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","25","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,Yes;Adopted Child,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Life Partner,Yes","12","Individual","Yes"
"2016","AK","21989","HIOS","4","2015-08-22 15:09:32","21989","93-0438772","21989AK007","21989AK0070001","A different rate (specifically for parties of two or more)for each enrollee is added together","3 or more","3 or more","25","3 or more","Yes","Yes","Age on effective date","Not Applicable","Spouse,Yes;Adopted Child,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Life Partner,Yes","13","Individual","Yes"
